loss,accuracy,val_loss,val_accuracy,lr
0.00034798108390532434,1.0,0.0006632572039961815,1.0,0.001
0.00031458906596526504,1.0,0.0006261513335630298,1.0,0.001
0.00030243839137256145,1.0,0.000594533805269748,1.0,0.001
0.00036485918099060655,1.0,0.0005671399994753301,1.0,0.001
0.00031757858232595026,1.0,0.0005440415698103607,1.0,0.001
0.00027520814910531044,1.0,0.000526841206010431,1.0,0.001
0.0002784418757073581,1.0,0.0005078046233393252,1.0,0.001
0.00030501015135087073,1.0,0.0004809717065654695,1.0,0.001
0.000281461572740227,1.0,0.00045597038115374744,1.0,0.001
0.0002718052710406482,1.0,0.0004400698817335069,1.0,0.001
0.00028346970793791115,1.0,0.00042389953159727156,1.0,0.001
0.0003415249229874462,1.0,0.00040821023867465556,1.0,0.001
0.00028244900749996305,1.0,0.0003867747727781534,1.0,0.001
0.00030136326677165926,1.0,0.0003660197835415602,1.0,0.001
0.0002698076132219285,1.0,0.0003523469786159694,1.0,0.001
0.0002658041485119611,1.0,0.0003399213310331106,1.0,0.001
0.0002328849077457562,1.0,0.0003329413593746722,1.0,0.001
0.00024888923508115113,1.0,0.00032679506693966687,1.0,0.001
0.00025444748462177813,1.0,0.0003190527786500752,1.0,0.001
0.00021170335821807384,1.0,0.00030825912836007774,1.0,0.001
0.00021177490998525172,1.0,0.0002983628655783832,1.0,0.001
0.00021927003399468958,1.0,0.00029033355531282723,1.0,0.001
0.00021017085236962885,1.0,0.0002794046013150364,1.0,0.001
0.00020782662613783032,1.0,0.0002715826849453151,1.0,0.001
0.00020098088134545833,1.0,0.00026543918647803366,1.0,0.001
0.00020584049343597144,1.0,0.00025951091083697975,1.0,0.001
0.00023720230092294514,1.0,0.0002511202765163034,1.0,0.001
0.00025207732687704265,1.0,0.00024351374304387718,1.0,0.001
0.00021258069318719208,1.0,0.00023218474234454334,1.0,0.001
0.0001794802228687331,1.0,0.0002231402468169108,1.0,0.001
0.00017564637528266758,1.0,0.00021734845358878374,1.0,0.001
0.00018014010856859386,1.0,0.00021165651560295373,1.0,0.001
0.00021133777045179158,1.0,0.00020696206775028259,1.0,0.001
0.00018735362391453236,1.0,0.0002011052129091695,1.0,0.001
0.00017764605581760406,1.0,0.0001911893778014928,1.0,0.001
0.00017110651242546737,1.0,0.00018620445916894823,1.0,0.001
0.0001897196052595973,1.0,0.0001831891859183088,1.0,0.001
0.0002120550925610587,1.0,0.0001793682895367965,1.0,0.001
0.00016648857854306698,1.0,0.00017480460519436747,1.0,0.001
0.0001623825082788244,1.0,0.00017183658201247454,1.0,0.001
0.00016530728316865861,1.0,0.00016847859660629183,1.0,0.001
0.00015929689106997102,1.0,0.0001654829684412107,1.0,0.001
0.00015029303904157132,1.0,0.00016221175610553473,1.0,0.001
0.00016203468840103596,1.0,0.00015849519695620984,1.0,0.001
0.0001552589237689972,1.0,0.0001553165348013863,1.0,0.001
0.00014562057913281024,1.0,0.0001527917484054342,1.0,0.001
0.0001402014313498512,1.0,0.00015047819761093706,1.0,0.001
0.00015013638767413795,1.0,0.00014862333773635328,1.0,0.001
0.00014242874749470502,1.0,0.00014647528587374836,1.0,0.001
0.00013904062507208437,1.0,0.00014463960542343557,1.0,0.001
0.00013356097042560577,1.0,0.00014388459385372698,1.0,0.001
